energy,tempo,danceability,playlist_genre,loudness,liveness,valence,track_artist,time_signature,speechiness,track_popularity,track_href,uri,track_album_name,playlist_name,analysis_url,track_id,track_name,track_album_release_date,instrumentalness,track_album_id,mode,key,duration_ms,acousticness,id,playlist_subgenre,type,playlist_id
0.978,141.167,0.526,rock,-5.436,0.0744,0.451,Van Halen,4,0.108,72,https://api.spotify.com/v1/tracks/05RgAMGypEvqhNs5hPCbMS,spotify:track:05RgAMGypEvqhNs5hPCbMS,1984 (Remastered),Rock Classics,https://api.spotify.com/v1/audio-analysis/05RgAMGypEvqhNs5hPCbMS,05RgAMGypEvqhNs5hPCbMS,Panama - 2015 Remaster,1984-01-04,4.75e-05,3REUXdj5OPKhuDTrTtCBU0,1,8,210227,0.00122,05RgAMGypEvqhNs5hPCbMS,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.467,119.919,0.615,blues,-9.883,0.099,0.177,Céline Dion,4,0.0327,74,https://api.spotify.com/v1/tracks/28UMiBhn383n9S7GL4tsxD,spotify:track:28UMiBhn383n9S7GL4tsxD,Falling into You,Classic Blues,https://api.spotify.com/v1/audio-analysis/28UMiBhn383n9S7GL4tsxD,28UMiBhn383n9S7GL4tsxD,"Because You Loved Me (Theme from ""Up Close and Personal"")",1996-03-11,0.0,2vk0n8aeQSO74VtQBbNDPR,1,1,273667,0.314,28UMiBhn383n9S7GL4tsxD,classic,audio_features,5arFyak5nEhUf9kpsssXxT
0.831,126.056,0.785,electronic,-3.681,0.086,0.673,"The Blessed Madonna, Clementine Douglas",4,0.0444,68,https://api.spotify.com/v1/tracks/1TcF5F10EN17vraisG1gQv,spotify:track:1TcF5F10EN17vraisG1gQv,Happier (feat. Clementine Douglas),Techno Bunker,https://api.spotify.com/v1/audio-analysis/1TcF5F10EN17vraisG1gQv,1TcF5F10EN17vraisG1gQv,Happier (feat. Clementine Douglas),2024-02-02,0.0105,5Tuzxg7Wwhx4ydYsxFsd7o,1,0,170359,0.0038,1TcF5F10EN17vraisG1gQv,techno,audio_features,37i9dQZF1DX4uPi2roRUwU
0.606,123.006,0.567,electronic,-6.543,0.0686,0.314,"Kygo, Sandro Cavazza",4,0.0438,68,https://api.spotify.com/v1/tracks/4aPX3IT9cskOWmeZvOYc5s,spotify:track:4aPX3IT9cskOWmeZvOYc5s,Hold On Me,Techno Bunker,https://api.spotify.com/v1/audio-analysis/4aPX3IT9cskOWmeZvOYc5s,4aPX3IT9cskOWmeZvOYc5s,Hold On Me,2024-11-15,0.0,4gnk9fBYQyrqdoTEqvlhzO,0,10,171785,0.0801,4aPX3IT9cskOWmeZvOYc5s,techno,audio_features,37i9dQZF1DX4uPi2roRUwU
0.824,118.818,0.709,pop,-8.824,,0.867,Whitney Houston,4,0.0453,81,https://api.spotify.com/v1/tracks/2tUBqZG2AbRi7Q0BIrVrEj,spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,Whitney,Throwback Party,https://api.spotify.com/v1/audio-analysis/2tUBqZG2AbRi7Q0BIrVrEj,2tUBqZG2AbRi7Q0BIrVrEj,I Wanna Dance with Somebody (Who Loves Me),1987-06-02,0.000307,5Vdzprr5cOqXQo44eHeV7t,1,1,291293,0.207,2tUBqZG2AbRi7Q0BIrVrEj,throwback,audio_features,37i9dQZF1DX7F6T2n2fegs
0.446,123.596,0.743,rock,-7.807,0.337,0.278,The White Stripes,4,0.0683,82,https://api.spotify.com/v1/tracks/3dPQuX8Gs42Y7b454ybpMR,spotify:track:3dPQuX8Gs42Y7b454ybpMR,Elephant,Rock Classics,https://api.spotify.com/v1/audio-analysis/3dPQuX8Gs42Y7b454ybpMR,3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,2003-04-01,0.118,6D9urpsOWWKtYvF6PaorGE,0,4,232107,0.0039,3dPQuX8Gs42Y7b454ybpMR,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.86,128.004,0.755,electronic,-4.811,,0.618,Mr. Belt & Wezol,4,0.0523,77,https://api.spotify.com/v1/tracks/5OFVzqSeFxGpvDGyHvVeLj,spotify:track:5OFVzqSeFxGpvDGyHvVeLj,It's Not Right But It's Okay,Techno Bunker,https://api.spotify.com/v1/audio-analysis/5OFVzqSeFxGpvDGyHvVeLj,5OFVzqSeFxGpvDGyHvVeLj,It's Not Right But It's Okay,2024-02-23,7.47e-06,116jZe8fEmfjKBh4d8ZcDO,0,5,152305,0.0144,5OFVzqSeFxGpvDGyHvVeLj,techno,audio_features,37i9dQZF1DX4uPi2roRUwU
0.465,113.81,0.6,pop,-4.951,0.149,0.0682,Zoe Wees,4,0.0314,69,https://api.spotify.com/v1/tracks/50Td3qilgs8BLtv8mHyT1t,spotify:track:50Td3qilgs8BLtv8mHyT1t,Control,Soft Pop Hits,https://api.spotify.com/v1/audio-analysis/50Td3qilgs8BLtv8mHyT1t,50Td3qilgs8BLtv8mHyT1t,Control,2020-03-13,1.48e-06,4w177LbRYa3z07NifGptFp,1,4,230880,0.643,50Td3qilgs8BLtv8mHyT1t,soft,audio_features,37i9dQZF1DWTwnEm1IYyoj
0.782,128.033,0.621,latin,-5.548,0.23,0.55,"Bizarrap, Quevedo",4,0.044,80,https://api.spotify.com/v1/tracks/2tTmW7RDtMQtBk7m2rYeSw,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",Chill Spanish Vibes,https://api.spotify.com/v1/audio-analysis/2tTmW7RDtMQtBk7m2rYeSw,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",2022-07-06,0.033,4PNqWiJAfjj32hVvlchV5u,1,2,198938,0.0125,2tTmW7RDtMQtBk7m2rYeSw,chill,audio_features,0jqQDMmHIkdbkFQdQTlMEQ
0.934,88.009,0.777,gaming,-0.959,,0.637,"Chase & Status, Stormzy",4,0.254,77,https://api.spotify.com/v1/tracks/3HrHhTWonBqF4mDasi8xvC,spotify:track:3HrHhTWonBqF4mDasi8xvC,BACKBONE,Top Gaming Tracks,https://api.spotify.com/v1/audio-analysis/3HrHhTWonBqF4mDasi8xvC,3HrHhTWonBqF4mDasi8xvC,BACKBONE,2024-08-08,3.86e-05,364RGa8yL2ZsIWlLoNSzIY,1,2,166449,0.285,3HrHhTWonBqF4mDasi8xvC,modern,audio_features,37i9dQZF1DWTyiBJ6yEqeu
0.599,86.533,0.828,brazilian,-1.624,0.0775,0.478,"MC L da Vinte, MC Gury",5,0.149,73,https://api.spotify.com/v1/tracks/3Hb9kUdm4yf839Fle4RIdT,spotify:track:3Hb9kUdm4yf839Fle4RIdT,Parado no Bailão,Brazilian Funk,https://api.spotify.com/v1/audio-analysis/3Hb9kUdm4yf839Fle4RIdT,3Hb9kUdm4yf839Fle4RIdT,Parado no Bailão,2018-07-23,0.0,4OZ9djo9HM9hIQtjY2NBLa,1,11,171692,0.381,3Hb9kUdm4yf839Fle4RIdT,funk,audio_features,6G1N7RXO7gOGfFKlRyjl8G
0.834,118.222,0.249,rock,-8.21,,0.337,Lynyrd Skynyrd,4,0.0574,75,https://api.spotify.com/v1/tracks/5EWPGh7jbTNO2wakv8LjUI,spotify:track:5EWPGh7jbTNO2wakv8LjUI,Pronounced' Leh-'Nerd 'Skin-'Nerd,Southern Rock,https://api.spotify.com/v1/audio-analysis/5EWPGh7jbTNO2wakv8LjUI,5EWPGh7jbTNO2wakv8LjUI,Free Bird,1973-01-01,9.69e-05,6DExt1eX4lflLacVjHHbOs,1,0,547107,0.0742,5EWPGh7jbTNO2wakv8LjUI,southern,audio_features,37i9dQZF1DXbDjX0hus3Iu
0.861,117.965,0.73,electronic,-4.1,0.213,0.704,"Jonas Blue, JP Cooper",4,0.0451,74,https://api.spotify.com/v1/tracks/3P3pw6C19j31Rnzgo3JG7o,spotify:track:3P3pw6C19j31Rnzgo3JG7o,Blue,EDM Hits,https://api.spotify.com/v1/audio-analysis/3P3pw6C19j31Rnzgo3JG7o,3P3pw6C19j31Rnzgo3JG7o,Perfect Strangers,2018-11-09,0.0,2xZSrcBmvMw9Y8hac6xU7L,1,1,196613,0.39,3P3pw6C19j31Rnzgo3JG7o,modern,audio_features,37i9dQZF1DX3Kdv0IChEm9
0.585,139.631,0.449,pop,-6.761,0.0833,0.212,Coldplay,4,0.0268,81,https://api.spotify.com/v1/tracks/6nek1Nin9q48AVZcWs9e9D,spotify:track:6nek1Nin9q48AVZcWs9e9D,Mylo Xyloto,Soft Pop Hits,https://api.spotify.com/v1/audio-analysis/6nek1Nin9q48AVZcWs9e9D,6nek1Nin9q48AVZcWs9e9D,Paradise,2011-10-24,8.75e-05,2R7iJz5uaHjLEVnMkloO18,1,5,278719,0.0509,6nek1Nin9q48AVZcWs9e9D,soft,audio_features,37i9dQZF1DWTwnEm1IYyoj
0.766,127.975,0.735,electronic,-4.485,0.108,0.6,"Rihanna, Calvin Harris",4,0.0383,75,https://api.spotify.com/v1/tracks/0U10zFw4GlBacOy9VDGfGL,spotify:track:0U10zFw4GlBacOy9VDGfGL,Talk That Talk,EDM Hits,https://api.spotify.com/v1/audio-analysis/0U10zFw4GlBacOy9VDGfGL,0U10zFw4GlBacOy9VDGfGL,We Found Love,2011-11-19,0.00141,1Kw1bVd07oRqcjrcjQKC8T,1,1,215227,0.025,0U10zFw4GlBacOy9VDGfGL,modern,audio_features,37i9dQZF1DX3Kdv0IChEm9
0.952,122.093,0.398,rock,-6.042,,0.584,Bruce Springsteen,4,0.061,72,https://api.spotify.com/v1/tracks/0dOg1ySSI7NkpAe89Zo0b9,spotify:track:0dOg1ySSI7NkpAe89Zo0b9,Born In The U.S.A.,Rock Classics,https://api.spotify.com/v1/audio-analysis/0dOg1ySSI7NkpAe89Zo0b9,0dOg1ySSI7NkpAe89Zo0b9,Born in the U.S.A.,1984-06-04,7.75e-05,0PMasrHdpaoIRuHuhHp72O,1,4,278680,0.000373,0dOg1ySSI7NkpAe89Zo0b9,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.945,91.906,0.51,rock,-5.405,0.0413,0.323,Linkin Park,4,0.0804,79,https://api.spotify.com/v1/tracks/6i5qhmmF9UNUBRyrPSGn4m,spotify:track:6i5qhmmF9UNUBRyrPSGn4m,From Zero,Rock This,https://api.spotify.com/v1/audio-analysis/6i5qhmmF9UNUBRyrPSGn4m,6i5qhmmF9UNUBRyrPSGn4m,Two Faced,2024-11-15,4.8e-06,4R6FV9NSzhPihHR0h4pI93,1,1,183584,0.000658,6i5qhmmF9UNUBRyrPSGn4m,modern,audio_features,37i9dQZF1DXcF6B6QPhFDv
0.658,140.042,0.8,arabic,-6.142,0.111,0.462,"Internet Money, Gunna, Don Toliver, NAV",4,0.079,77,https://api.spotify.com/v1/tracks/1p0rEzrK7YtdRZVtiyV7RN,spotify:track:1p0rEzrK7YtdRZVtiyV7RN,B4 The Storm,Arab X,https://api.spotify.com/v1/audio-analysis/1p0rEzrK7YtdRZVtiyV7RN,1p0rEzrK7YtdRZVtiyV7RN,Lemonade (feat. NAV),2020-08-28,0.0,4Y5lQYgpDrkyru90jltD5a,0,1,195429,0.25,1p0rEzrK7YtdRZVtiyV7RN,modern,audio_features,3gZgGRvDn9tTUy8n7699pD
0.944,105.338,0.394,rock,-6.506,0.298,0.265,Pearl Jam,4,0.0761,77,https://api.spotify.com/v1/tracks/6QewNVIDKdSl8Y3ycuHIei,spotify:track:6QewNVIDKdSl8Y3ycuHIei,Ten,Rock Classics,https://api.spotify.com/v1/audio-analysis/6QewNVIDKdSl8Y3ycuHIei,6QewNVIDKdSl8Y3ycuHIei,Even Flow,1991-08-27,4.54e-06,5B4PYA7wNN4WdEXdIJu58a,0,10,292581,0.00178,6QewNVIDKdSl8Y3ycuHIei,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.146,172.13,0.265,classical,-21.134,0.104,0.416,Gibran Alcocer,5,0.0323,71,https://api.spotify.com/v1/tracks/3kJACFlgn1rg0I0l4XmzLI,spotify:track:3kJACFlgn1rg0I0l4XmzLI,Idea 1,Neo-Classical,https://api.spotify.com/v1/audio-analysis/3kJACFlgn1rg0I0l4XmzLI,3kJACFlgn1rg0I0l4XmzLI,Idea 1,2022-08-16,0.893,189goDikUHhtkmt0Yjbn5O,0,8,154500,0.985,3kJACFlgn1rg0I0l4XmzLI,neo-classical,audio_features,37i9dQZF1EIfnkSMcirbYT
0.732,172.329,0.598,hip-hop,-7.013,0.508,0.595,2Pac,4,0.425,68,https://api.spotify.com/v1/tracks/0XRbYXQUymj9SJkrr8YK5B,spotify:track:0XRbYXQUymj9SJkrr8YK5B,Strictly 4 My N.I.G.G.A.Z...,90s Hip-Hop,https://api.spotify.com/v1/audio-analysis/0XRbYXQUymj9SJkrr8YK5B,0XRbYXQUymj9SJkrr8YK5B,Keep Ya Head Up,1993-02-16,0.0,7FK1855C3n1Q0RKbmvl7ll,1,4,262507,0.144,0XRbYXQUymj9SJkrr8YK5B,90s,audio_features,37i9dQZF1DX186v583rmzp
0.616,104.008,0.773,latin,-4.516,0.145,0.25,"Myke Towers, Peso Pluma",4,0.0416,72,https://api.spotify.com/v1/tracks/1iIrqtbY2aogEHhQkmrV7w,spotify:track:1iIrqtbY2aogEHhQkmrV7w,LA PANTERA NEGRA,Reggaeton Hits,https://api.spotify.com/v1/audio-analysis/1iIrqtbY2aogEHhQkmrV7w,1iIrqtbY2aogEHhQkmrV7w,SE TE NOTA (feat. Peso Pluma),2024-08-22,4.24e-05,6NmYJszy5BaEm1WF4tJL7Z,1,0,190107,0.0565,1iIrqtbY2aogEHhQkmrV7w,reggaeton,audio_features,50RFc7X949cZs4CHZ4fPDe
0.379,107.989,0.614,pop,-10.48,0.0986,0.201,Ed Sheeran,4,0.0476,84,https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,x (Deluxe Edition),Soft Pop Hits,https://api.spotify.com/v1/audio-analysis/1HNkqx9Ahdgi1Ixy2xkKkL,1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,2014-06-21,0.000464,1xn54DMo2qIqBuMqHtUsFd,1,4,258987,0.607,1HNkqx9Ahdgi1Ixy2xkKkL,soft,audio_features,37i9dQZF1DWTwnEm1IYyoj
0.908,159.756,0.285,metal,-4.601,,0.669,Iron Maiden,4,0.0705,71,https://api.spotify.com/v1/tracks/4OROzZUy6gOWN4UGQVaZMF,spotify:track:4OROzZUy6gOWN4UGQVaZMF,Piece of Mind (2015 Remaster),Death Metal Essentials,https://api.spotify.com/v1/audio-analysis/4OROzZUy6gOWN4UGQVaZMF,4OROzZUy6gOWN4UGQVaZMF,The Trooper - 2015 Remaster,1983,0.00909,7I9Wh2IgvI3Nnr8Z1ZSWby,0,4,252733,0.0318,4OROzZUy6gOWN4UGQVaZMF,death,audio_features,37i9dQZF1DWWOaP4H0w5b0
0.736,127.999,0.579,electronic,-3.863,,0.613,Avicii,4,0.0527,78,https://api.spotify.com/v1/tracks/2P4OICZRVAQcYAV2JReRfj,spotify:track:2P4OICZRVAQcYAV2JReRfj,Stories,EDM Hits,https://api.spotify.com/v1/audio-analysis/2P4OICZRVAQcYAV2JReRfj,2P4OICZRVAQcYAV2JReRfj,Waiting For Love,2015-10-02,0.0,7dqftJ3kas6D0VAdmt3k3V,0,6,230613,0.31,2P4OICZRVAQcYAV2JReRfj,modern,audio_features,37i9dQZF1DX3Kdv0IChEm9
